EmployeeID,Name,Department,Email,Phone,HireDate,Salary,City,Country
1,Candice Wilkinson,Support,reidrenee@burke.info,301-363-6513x16525,2017-05-20,91158.22,South Frankstad,Portugal
2,Michael Atkinson,Finance,denise51@gmail.com,8398994783,2021-11-12,81963.68,Durhamberg,Bhutan
3,Shannon King,Support,laurasaunders@doyle.com,(543)088-7159x58074,2018-11-25,95459.02,Port Debbie,Germany
4,Victoria Farmer,IT,rrice@aguilar-garcia.biz,444.823.7560,2022-01-15,90534.05,Steveville,Oman
5,Kurt Bauer,Support,curtis82@hobbs.net,001-255-740-7673x886,2024-01-20,71705.22,South Catherine,Macao
6,Krystal Reyes,Marketing,haleyherring@rodriguez.com,+1-005-515-9630x48193,2015-12-02,115015.39,Brandontown,Greenland
7,Emily Ray,HR,brownjacob@pena.com,+1-214-366-1023x908,2015-11-30,115291.54,Woodberg,Jamaica
8,Darren Black,Marketing,gwilson@jenkins-andrews.com,(889)426-6520,2017-07-30,42337.89,Port Laurafurt,Guinea
9,Robert Holland,Sales,christina18@hotmail.com,052-431-3436x33689,2023-11-25,63336.31,New Hailey,Kuwait
10,Charles Nguyen,Sales,kjones@hotmail.com,+1-273-421-2466,2017-07-13,53121.2,New Susanfort,Madagascar
11,Michael Bradley,Marketing,chapmantimothy@yahoo.com,+1-067-323-8694x56973,2024-08-16,66325.99,Millerfort,Panama
12,Blake Snow,Finance,petersendarren@yang.com,744.592.6345x5067,2022-07-26,116045.27,Tabithaside,Czech Republic
13,Danny Castillo,Sales,smorgan@gmail.com,(125)064-4990x0097,2024-10-16,49464.17,Nicholasland,Pakistan
14,Elizabeth Williams,HR,scampbell@hotmail.com,679.449.4263,2021-10-26,47160.33,East Donald,Zambia
15,Mark Harper,Support,fmclaughlin@swanson.org,(172)309-4123x742,2021-12-18,108016.12,Riverastad,Madagascar
16,Kelly Rodriguez,HR,cindybarrera@duncan.org,001-692-629-4320x32636,2019-08-06,80315.45,West Danielle,New Zealand
17,Angela Blackburn,IT,michael86@ward-gilmore.com,188.226.0157x95867,2021-12-03,119658.33,Joannemouth,Azerbaijan
18,Justin Kim,IT,daniel20@benson-miller.com,645.885.9675x823,2019-03-01,31904.15,Watsonstad,British Indian Ocean Territory (Chagos Archipelago)
19,Jacob Hernandez,Support,madelineramos@fisher.net,4977833653,2025-06-14,60821.2,East Emily,Brunei Darussalam
20,Stephen Smith,HR,durhamjessica@medina.com,001-399-430-6552x08858,2025-06-01,60393.46,New Joshua,Suriname
21,Samantha Olsen,Support,kellysue@yahoo.com,001-897-076-7760x706,2018-10-09,54665.71,West Abigailtown,Brunei Darussalam
22,Jacqueline Ross,Finance,andreawong@parker.com,001-149-388-2295x9013,2018-06-06,104076.4,Markchester,Tonga
23,Mr. Harry Martin,Support,toddcox@yahoo.com,001-992-374-2003x6979,2022-01-04,48350.04,Hermanville,Holy See (Vatican City State)
24,Douglas Reeves,Sales,tarachan@shepherd.biz,611-604-4916x32349,2024-02-27,103285.92,Campbellmouth,Brazil
25,Christie Edwards,HR,wattsdeanna@gmail.com,001-206-214-8246x4129,2024-06-25,73446.09,Lake Lawrencemouth,Equatorial Guinea
26,Amy Williams,Marketing,psmith@carpenter-shaw.net,+1-831-057-3250x566,2020-08-19,31658.7,Port Alexishaven,Lao People's Democratic Republic
27,Rita Bradley,Finance,diamond76@richardson.biz,(041)901-1274x880,2017-07-05,53303.47,Bennettborough,Rwanda
28,Jamie Vazquez,Sales,adamfranco@humphrey-davis.info,244-223-9036x202,2017-02-18,34181.79,New Jacquelineborough,Belize
29,Elizabeth Brown,HR,mark57@yahoo.com,9237119619,2018-10-10,85549.7,North Rodneymouth,Zimbabwe
30,Kathryn Walton,Finance,ehawkins@cooper.com,408-609-2815x725,2022-04-19,75941.86,Coopertown,Cayman Islands
31,Erica Black,IT,poncejonathan@gmail.com,(792)001-9229,2023-04-03,35688.15,Nicholasshire,Norway
32,Andrea Bowman,Finance,kimsmith@anderson.com,001-624-846-4378x140,2021-10-01,56352.12,North Emily,Montserrat
33,William Brown MD,HR,hollygray@hotmail.com,058-071-7752x891,2015-12-01,39324.81,West Ryantown,Libyan Arab Jamahiriya
34,Larry Merritt,Finance,derrickanderson@lucero.com,078.096.8608x262,2019-02-18,118647.04,Patriciaton,Greece
35,Jordan Moore,Sales,bryce05@hess.net,001-976-558-7847,2020-09-14,62559.59,West Zachary,Namibia
36,Courtney Noble,Marketing,brandon00@hotmail.com,001-428-962-4254,2018-03-24,86383.06,New Sarah,Malta
37,Michael Park,IT,laurenjohnson@yahoo.com,001-160-892-6053,2021-04-17,34045.72,West Martin,China
38,Rita Gray,Sales,kristen90@garcia.com,001-538-847-5049x64360,2019-10-29,66502.78,New Michael,Panama
39,Derek Washington,Support,bryantbailey@gmail.com,079.532.1993,2020-02-05,63968.73,Port Douglas,San Marino
40,Bruce Peters,Finance,steverobinson@yahoo.com,+1-881-839-1715,2018-09-09,70694.83,Lake Michael,Netherlands Antilles
41,Robert Nelson,Finance,smithkelly@yahoo.com,758-847-1860x224,2017-11-07,93002.94,Connorview,Poland
42,Sharon Sanders,Support,cstrickland@gmail.com,001-587-753-8276x8656,2020-04-23,90225.71,East Leah,Yemen
43,Derek Elliott,Finance,esullivan@gmail.com,923-892-0707x2235,2020-07-05,64112.82,Collinsberg,Sudan
44,Jared Hayes,Marketing,vkelly@reid-boyle.info,560-426-4371x5188,2024-11-28,73406.65,Foxhaven,Croatia
45,Paul Gardner,Marketing,tiffany37@welch.com,085-370-2965,2022-12-03,73104.67,Thompsonchester,Sri Lanka
46,Morgan Contreras,Marketing,jennifer35@zimmerman-dillon.com,+1-984-632-5231,2017-07-20,104435.79,Joelville,Faroe Islands
47,Kristina Meyer,Finance,jerrygonzalez@hotmail.com,+1-758-467-6654x017,2022-04-09,35889.12,Christianstad,Mongolia
48,Tammy Walker,Marketing,hayesscott@adams.com,432-301-8098,2021-07-19,99843.51,East Feliciashire,Somalia
49,Patricia Nichols,IT,kfranklin@gmail.com,001-625-710-2399x1939,2017-06-30,67266.67,Michaelmouth,Lao People's Democratic Republic
50,Jennifer Mcdonald,HR,lisaarnold@gmail.com,(609)090-5131x48268,2024-02-17,119202.4,Owenshaven,Gambia
51,Allison Shields,Support,davidhughes@hotmail.com,391-576-5339,2016-09-24,85507.83,North Kaylahaven,Albania
52,Timothy Walker,Marketing,iglass@yahoo.com,001-946-992-9108x007,2017-03-29,79491.81,Flynnside,Hong Kong
53,Sarah Gray,Sales,david01@morrison.com,+1-956-221-2881x92343,2022-03-27,47539.2,New Christinaland,Malta
54,Hailey Gonzalez,Sales,jkim@yahoo.com,916.708.0664,2021-11-27,99711.82,Smithland,Puerto Rico
55,Lisa Johnson,IT,mendozadarryl@jackson-bates.com,001-747-819-9666x3460,2021-10-25,49648.58,Jasonport,Saint Barthelemy
56,Christina Owen,Finance,jamesconnor@yahoo.com,(902)113-0209x12554,2021-04-29,117519.08,South Stanleyside,Malawi
57,Benjamin Lewis,Sales,john50@hotmail.com,+1-342-299-9857x05606,2016-04-18,119083.77,Moorehaven,Senegal
58,Mrs. Stephanie Lopez,HR,marc32@yahoo.com,834-740-1280x87598,2016-07-24,70124.11,Petersonport,Solomon Islands
59,Theresa Hill,Marketing,kaitlyn59@hotmail.com,276.238.2079x19067,2015-12-04,83743.77,North Dawn,Moldova
60,Christopher Wagner,Marketing,nicholas77@smith.org,787-596-5737x49328,2016-03-27,115878.99,Douglasbury,Isle of Man
61,Erik Warren,Finance,robertogilbert@hotmail.com,5093196190,2017-07-01,43474.06,Bryanberg,Tunisia
62,Pamela Owens,Support,jill82@gmail.com,883.935.3948x1450,2019-04-28,117932.27,Ortegaburgh,Portugal
63,Timothy Oconnor,HR,nancy98@burns-smith.info,001-577-568-6856x935,2024-04-05,114475.76,North Kristin,Poland
64,Jason Lee,Finance,ramoswendy@gmail.com,(538)312-8288x9657,2018-10-12,115934.0,North Ashley,Falkland Islands (Malvinas)
65,Michael Porter,Finance,brandon95@graham.com,337-958-3597x99409,2018-11-16,60150.06,South Marc,Lebanon
66,Craig Solis,Finance,sanchezphillip@davis-ponce.com,001-214-186-9926x0567,2019-09-30,83160.71,Lake Carolinetown,Botswana
67,Jennifer Aguilar,Finance,rodriguezkelly@gmail.com,001-692-311-1776x81932,2021-03-08,84605.55,West Amytown,United States Virgin Islands
68,Mr. George Stanley,Sales,alvaradorhonda@lopez.info,987.349.8369x09659,2019-02-17,73257.74,West Tina,Marshall Islands
69,Michelle Velez,Support,alyssalawrence@lopez.com,001-067-478-1436x949,2021-06-30,98767.03,Beltranside,Chad
70,Connie Cook,Finance,hollyjackson@miller.com,857.535.4510,2025-03-20,91779.23,Lake Maria,Guinea-Bissau
71,Jeremy Padilla,Marketing,pamela93@gmail.com,(285)713-7732,2017-11-08,108042.99,East Jeffreyside,Burkina Faso
72,Noah Cruz,HR,patrickthomas@hotmail.com,(269)409-6051x5721,2024-06-23,45559.37,Meyersfurt,Haiti
73,Lori Smith,Finance,anthonycalvin@yahoo.com,001-785-461-6967,2016-11-25,54082.72,South Emily,Cook Islands
74,Scott Scott DVM,HR,justin70@brown.com,563-234-6767x51761,2023-09-02,109910.5,Lammouth,Switzerland
75,Brendan Frost,Finance,cynthiawood@gmail.com,(869)178-5696,2017-08-02,103737.62,Jenniferchester,Canada
76,Timothy Watson,Finance,wesleymartinez@lindsey-graham.com,030.211.4273x568,2025-06-28,31882.83,North Lindsey,Mayotte
77,Mark Jordan,Marketing,valerieboyd@gmail.com,+1-352-577-2151x9522,2019-01-06,112256.87,Heatherborough,Cape Verde
